wiki_id,title,targetlang,equiv_title,wiki_url
35925403,appeals,ru,Апелляция,http://en.wikipedia.org/wiki?curid=35925403
19196523,random,ru,Случайность,http://en.wikipedia.org/wiki?curid=19196523
19728,marriage,ru,Брачный союз,http://en.wikipedia.org/wiki?curid=19728
532964,panel,ru,Панель,http://en.wikipedia.org/wiki?curid=532964
679866,chief,ru,Чиф,http://en.wikipedia.org/wiki?curid=679866
75358,courts,ru,Суд,http://en.wikipedia.org/wiki?curid=75358
4746766,process,ru,Процесс,http://en.wikipedia.org/wiki?curid=4746766
5171128,gay,ru,Гей,http://en.wikipedia.org/wiki?curid=5171128
44719,judge,ru,Судья,http://en.wikipedia.org/wiki?curid=44719
6603,case,ru,Case (значения),http://en.wikipedia.org/wiki?curid=6603
20646803,professor,ru,Профессор,http://en.wikipedia.org/wiki?curid=20646803
25874441,group,ru,Группа,http://en.wikipedia.org/wiki?curid=25874441
18949668,law,ru,Право,http://en.wikipedia.org/wiki?curid=18949668
51490,rights,ru,Субъективное право,http://en.wikipedia.org/wiki?curid=51490
1435258,judges,ru,Судья (значения),http://en.wikipedia.org/wiki?curid=1435258
