	consci			relig
4210     Only Some                Catholic
4211     Only Some                Catholic
4212  A Great Deal              Protestant
4213     Only Some                Catholic
4214     Only Some                Catholic
4215    Hardly Any              Protestant
4216     Only Some              Protestant
4217  A Great Deal              Protestant
4218    Hardly Any              Protestant
4219    Hardly Any                Catholic
4220     Only Some              Protestant
4221  A Great Deal              Protestant
4222  A Great Deal                Catholic
4223     Only Some                Catholic
4224     Only Some                Catholic
4225     Only Some                Catholic
4226  A Great Deal              Protestant
4227  A Great Deal              Protestant
4228    Hardly Any                Catholic
4229     Only Some              Protestant
4230  A Great Deal              Protestant
4231     Only Some                Catholic
4232     Only Some              Protestant
4233  A Great Deal              Protestant
4234  A Great Deal              Protestant
4235     Only Some              Protestant
4236     Only Some              Protestant
4237     Only Some                Catholic
4238     Only Some                Catholic
4239     Only Some              Protestant
4240     Only Some                    None
4241     Only Some                Catholic
4242     Only Some              Protestant
4243  A Great Deal              Protestant
4244     Only Some              Protestant
4245    Hardly Any              Protestant
4246  A Great Deal              Protestant
4247  A Great Deal                Catholic
4248  A Great Deal                Catholic
4249  A Great Deal              Protestant
4250  A Great Deal                Catholic
4251  A Great Deal              Protestant
4252     Only Some              Protestant
4253          <NA>                Catholic
4254  A Great Deal              Protestant
4255  A Great Deal                Catholic
4256     Only Some                Catholic
4257  A Great Deal              Protestant
4258     Only Some                    None
4259  A Great Deal              Protestant
4260     Only Some                    None
4261     Only Some                    None
4262     Only Some                Catholic
4263  A Great Deal                Catholic
4264     Only Some                Catholic
4265     Only Some              Protestant
4266  A Great Deal                Catholic
4267  A Great Deal              Protestant
4268     Only Some              Protestant
4269     Only Some              Protestant
4270     Only Some              Protestant
4271     Only Some              Protestant
4272  A Great Deal                Catholic
4273     Only Some              Protestant
4274  A Great Deal                Catholic
4275  A Great Deal              Protestant
4276     Only Some              Protestant
4277  A Great Deal                    None
4278  A Great Deal              Protestant
4279  A Great Deal                Catholic
4280  A Great Deal              Protestant
4281     Only Some              Protestant
4282  A Great Deal                Catholic
4283  A Great Deal              Protestant
4284     Only Some                Catholic
4285  A Great Deal                Catholic
4286     Only Some              Protestant
4287  A Great Deal              Protestant
4288  A Great Deal                Catholic
4289    Hardly Any              Protestant
4290     Only Some              Protestant
4291  A Great Deal              Protestant
4292     Only Some                Catholic
4293  A Great Deal              Protestant
4294  A Great Deal              Protestant
4295     Only Some              Protestant
4296     Only Some              Protestant
4297  A Great Deal              Protestant
4298          <NA>              Protestant
4299  A Great Deal                Catholic
4300  A Great Deal              Protestant
4301     Only Some              Protestant
4302  A Great Deal              Protestant
4303     Only Some              Protestant
4304     Only Some                Catholic
4305  A Great Deal                    None
4306          <NA>              Protestant
4307    Hardly Any              Protestant
4308  A Great Deal              Protestant
4309    Hardly Any              Protestant
4310  A Great Deal              Protestant
4311  A Great Deal                Catholic
4312    Hardly Any              Protestant
4313  A Great Deal              Protestant
4314     Only Some              Protestant
4315     Only Some              Protestant
4316          <NA>              Protestant
4317  A Great Deal              Protestant
4318  A Great Deal              Protestant
4319     Only Some              Protestant
4320          <NA>              Protestant
4321  A Great Deal              Protestant
4322  A Great Deal              Protestant
4323     Only Some              Protestant
4324  A Great Deal              Protestant
4325     Only Some              Protestant
4326     Only Some              Protestant
4327     Only Some              Protestant
4328  A Great Deal              Protestant
4329    Hardly Any              Protestant
4330     Only Some              Protestant
4331     Only Some              Protestant
4332  A Great Deal              Protestant
4333     Only Some              Protestant
4334  A Great Deal              Protestant
4335          <NA>              Protestant
4336          <NA>              Protestant
4337  A Great Deal              Protestant
4338  A Great Deal              Protestant
4339     Only Some              Protestant
4340  A Great Deal              Protestant
4341          <NA>              Protestant
4342  A Great Deal              Protestant
4343  A Great Deal              Protestant
4344     Only Some                    None
4345     Only Some              Protestant
4346     Only Some              Protestant
4347     Only Some              Protestant
4348  A Great Deal              Protestant
4349  A Great Deal                Catholic
4350  A Great Deal              Protestant
4351     Only Some              Protestant
4352  A Great Deal              Protestant
4353  A Great Deal              Protestant
4354     Only Some              Protestant
4355  A Great Deal              Protestant
4356  A Great Deal              Protestant
4357  A Great Deal              Protestant
4358  A Great Deal                  Jewish
4359     Only Some                Catholic
4360     Only Some                Catholic
4361  A Great Deal              Protestant
4362  A Great Deal                    None
4363     Only Some              Protestant
4364  A Great Deal              Protestant
4365  A Great Deal              Protestant
4366  A Great Deal              Protestant
4367     Only Some              Protestant
4368  A Great Deal              Protestant
4369     Only Some              Protestant
4370     Only Some              Protestant
4371  A Great Deal              Protestant
4372    Hardly Any              Protestant
4373  A Great Deal              Protestant
4374  A Great Deal                Catholic
4375  A Great Deal              Protestant
4376  A Great Deal              Protestant
4377  A Great Deal                Catholic
4378     Only Some                Catholic
4379  A Great Deal              Protestant
4380  A Great Deal                Catholic
4381     Only Some              Protestant
4382  A Great Deal                    None
4383     Only Some              Protestant
4384     Only Some                Catholic
4385     Only Some              Protestant
4386  A Great Deal                Catholic
4387  A Great Deal                Catholic
4388     Only Some                Catholic
4389  A Great Deal                Catholic
4390     Only Some                Catholic
4391     Only Some                Catholic
4392    Hardly Any                Catholic
4393    Hardly Any                Catholic
4394     Only Some                Catholic
4395  A Great Deal                Catholic
4396     Only Some                Catholic
4397  A Great Deal                Catholic
4398     Only Some                Catholic
4399    Hardly Any                Catholic
4400  A Great Deal              Protestant
4401          <NA>              Protestant
4402  A Great Deal              Protestant
4403  A Great Deal              Protestant
4404    Hardly Any                Catholic
4405  A Great Deal              Protestant
4406     Only Some              Protestant
4407     Only Some              Protestant
4408     Only Some              Protestant
4409  A Great Deal              Protestant
4410  A Great Deal              Protestant
4411     Only Some              Protestant
4412  A Great Deal              Protestant
4413  A Great Deal              Protestant
4414  A Great Deal              Protestant
4415     Only Some              Protestant
4416  A Great Deal              Protestant
4417  A Great Deal                Catholic
4418     Only Some              Protestant
4419          <NA>                Catholic
4420     Only Some                Catholic
4421     Only Some                Catholic
4422     Only Some              Protestant
4423  A Great Deal              Protestant
4424     Only Some              Protestant
4425  A Great Deal              Protestant
4426  A Great Deal              Protestant
4427     Only Some                Catholic
4428     Only Some                Catholic
4429  A Great Deal              Protestant
4430  A Great Deal              Protestant
4431  A Great Deal              Protestant
4432    Hardly Any              Protestant
4433          <NA>              Protestant
4434     Only Some              Protestant
4435    Hardly Any              Protestant
4436    Hardly Any              Protestant
4437  A Great Deal              Protestant
4438  A Great Deal              Protestant
4439     Only Some              Protestant
4440  A Great Deal              Protestant
4441  A Great Deal              Protestant
4442    Hardly Any              Protestant
4443          <NA>              Protestant
4444     Only Some              Protestant
4445    Hardly Any              Protestant
4446    Hardly Any              Protestant
4447     Only Some              Protestant
4448          <NA>              Protestant
4449     Only Some              Protestant
4450     Only Some              Protestant
4451  A Great Deal              Protestant
4452  A Great Deal              Protestant
4453     Only Some              Protestant
4454     Only Some              Protestant
4455          <NA>                Catholic
4456  A Great Deal              Protestant
4457  A Great Deal              Protestant
4458     Only Some              Protestant
4459          <NA>              Protestant
4460     Only Some              Protestant
4461  A Great Deal                Catholic
4462    Hardly Any              Protestant
4463     Only Some              Protestant
4464          <NA>              Protestant
4465    Hardly Any              Protestant
4466          <NA>              Protestant
4467     Only Some              Protestant
4468     Only Some              Protestant
4469          <NA>              Protestant
4470    Hardly Any              Protestant
4471     Only Some              Protestant
4472  A Great Deal              Protestant
4473    Hardly Any              Protestant
4474    Hardly Any              Protestant
4475          <NA>              Protestant
4476          <NA>              Protestant
4477     Only Some              Protestant
4478  A Great Deal              Protestant
4479     Only Some              Protestant
4480     Only Some              Protestant
4481     Only Some              Protestant
4482  A Great Deal                    None
4483     Only Some              Protestant
4484  A Great Deal              Protestant
4485  A Great Deal              Protestant
4486  A Great Deal              Protestant
4487  A Great Deal                Catholic
4488  A Great Deal              Protestant
4489     Only Some                    None
4490  A Great Deal              Protestant
4491     Only Some              Protestant
4492          <NA>              Protestant
4493          <NA>              Protestant
4494          <NA>              Protestant
4495          <NA>              Protestant
4496          <NA>                    None
4497     Only Some              Protestant
4498     Only Some              Protestant
4499     Only Some              Protestant
4500          <NA>                    None
4501     Only Some              Protestant
4502     Only Some                    None
4503     Only Some                Catholic
4504          <NA>              Protestant
4505     Only Some              Protestant
4506          <NA>                Catholic
4507     Only Some              Protestant
4508          <NA>              Protestant
4509     Only Some              Protestant
4510          <NA>              Protestant
4511  A Great Deal              Protestant
4512     Only Some              Protestant
4513  A Great Deal              Protestant
4514  A Great Deal              Protestant
4515  A Great Deal              Protestant
4516          <NA>              Protestant
4517  A Great Deal              Protestant
4518  A Great Deal              Protestant
4519  A Great Deal              Protestant
4520  A Great Deal              Protestant
4521    Hardly Any              Protestant
4522          <NA>              Protestant
4523          <NA>              Protestant
4524          <NA>              Protestant
4525          <NA>              Protestant
4526          <NA>              Protestant
4527  A Great Deal              Protestant
4528          <NA>              Protestant
4529          <NA>              Protestant
4530  A Great Deal              Protestant
4531  A Great Deal              Protestant
4532          <NA>              Protestant
4533          <NA>              Protestant
4534     Only Some              Protestant
4535          <NA>              Protestant
4536          <NA>              Protestant
4537  A Great Deal                Catholic
4538     Only Some              Protestant
4539     Only Some              Protestant
4540  A Great Deal                Catholic
4541  A Great Deal              Protestant
4542  A Great Deal              Protestant
4543  A Great Deal                    None
4544          <NA>                Catholic
4545    Hardly Any                Catholic
4546     Only Some              Protestant
4547     Only Some              Protestant
4548     Only Some                Catholic
4549  A Great Deal              Protestant
4550     Only Some              Protestant
4551     Only Some                Catholic
4552     Only Some              Protestant
4553  A Great Deal              Protestant
4554     Only Some              Protestant
4555     Only Some                Catholic
4556     Only Some                Catholic
4557  A Great Deal                Catholic
4558  A Great Deal              Protestant
4559  A Great Deal                Catholic
4560  A Great Deal              Protestant
4561  A Great Deal              Protestant
4562  A Great Deal                Catholic
4563  A Great Deal              Protestant
4564          <NA>                Catholic
4565  A Great Deal                Catholic
4566     Only Some                Catholic
4567     Only Some              Protestant
4568  A Great Deal                Catholic
4569     Only Some              Protestant
4570    Hardly Any                    None
4571          <NA>              Protestant
4572  A Great Deal              Protestant
4573          <NA>                    None
4574  A Great Deal              Protestant
4575     Only Some                Catholic
4576  A Great Deal              Protestant
4577  A Great Deal              Protestant
4578     Only Some              Protestant
4579     Only Some              Protestant
4580     Only Some                Catholic
4581  A Great Deal                Catholic
4582  A Great Deal                Catholic
4583          <NA>              Protestant
4584  A Great Deal              Protestant
4585  A Great Deal                Catholic
4586     Only Some              Protestant
4587     Only Some              Protestant
4588  A Great Deal              Protestant
4589  A Great Deal                Catholic
4590  A Great Deal                Catholic
4591  A Great Deal                Catholic
4592     Only Some              Protestant
4593  A Great Deal              Protestant
4594  A Great Deal                Catholic
4595     Only Some              Protestant
4596  A Great Deal              Protestant
4597  A Great Deal              Protestant
4598     Only Some              Protestant
4599     Only Some              Protestant
4600     Only Some              Protestant
4601     Only Some              Protestant
4602  A Great Deal                Catholic
4603  A Great Deal                Catholic
4604          <NA>                Catholic
4605  A Great Deal                    None
4606     Only Some                    None
4607  A Great Deal              Protestant
4608     Only Some                Catholic
4609     Only Some                Catholic
4610  A Great Deal                  Jewish
4611  A Great Deal              Protestant
4612     Only Some                  Jewish
4613     Only Some                Catholic
4614     Only Some                Catholic
4615  A Great Deal                    None
4616     Only Some              Protestant
4617    Hardly Any                Catholic
4618  A Great Deal              Protestant
4619     Only Some                Catholic
4620     Only Some              Protestant
4621     Only Some                    None
4622  A Great Deal              Protestant
4623  A Great Deal                    None
4624     Only Some              Protestant
4625          <NA>                Catholic
4626     Only Some                Catholic
4627     Only Some                Catholic
4628     Only Some                Catholic
4629  A Great Deal                Catholic
4630     Only Some                Catholic
4631          <NA>                   Other
4632  A Great Deal                  Jewish
4633  A Great Deal                    None
4634  A Great Deal                  Jewish
4635    Hardly Any              Protestant
4636    Hardly Any                    None
4637          <NA>              Protestant
4638  A Great Deal                Catholic
4639  A Great Deal              Protestant
4640  A Great Deal                Catholic
4641     Only Some              Protestant
4642  A Great Deal              Protestant
4643     Only Some              Protestant
4644     Only Some                Catholic
4645     Only Some                    None
4646     Only Some                Catholic
4647  A Great Deal              Protestant
4648          <NA>              Protestant
4649  A Great Deal                Catholic
4650    Hardly Any                Catholic
4651     Only Some              Protestant
4652     Only Some                  Jewish
4653  A Great Deal              Protestant
4654  A Great Deal              Protestant
4655     Only Some                Catholic
4656  A Great Deal              Protestant
4657  A Great Deal                  Jewish
4658  A Great Deal              Protestant
4659  A Great Deal                Catholic
4660  A Great Deal                Catholic
4661  A Great Deal              Protestant
4662     Only Some              Protestant
4663    Hardly Any              Protestant
4664  A Great Deal              Protestant
4665          <NA>                  Jewish
4666  A Great Deal                    None
4667          <NA>              Protestant
4668     Only Some                Catholic
4669     Only Some                    None
4670  A Great Deal                Catholic
4671  A Great Deal                    None
4672     Only Some                    None
4673  A Great Deal                Catholic
4674     Only Some                  Jewish
4675  A Great Deal              Protestant
4676  A Great Deal              Protestant
4677          <NA>              Protestant
4678  A Great Deal              Protestant
4679     Only Some              Protestant
4680  A Great Deal              Protestant
4681     Only Some              Protestant
4682          <NA>              Protestant
4683  A Great Deal              Protestant
4684     Only Some              Protestant
4685     Only Some              Protestant
4686     Only Some              Protestant
4687  A Great Deal              Protestant
4688     Only Some              Protestant
4689  A Great Deal              Protestant
4690  A Great Deal              Protestant
4691  A Great Deal                Catholic
4692    Hardly Any                Catholic
4693     Only Some                Catholic
4694     Only Some              Protestant
4695          <NA>              Protestant
4696  A Great Deal                Catholic
4697     Only Some              Protestant
4698  A Great Deal                Catholic
4699  A Great Deal                Catholic
4700     Only Some                Catholic
4701  A Great Deal              Protestant
4702  A Great Deal              Protestant
4703     Only Some              Protestant
4704     Only Some              Protestant
4705     Only Some                Catholic
4706  A Great Deal                Catholic
4707  A Great Deal                  Jewish
4708     Only Some              Protestant
4709     Only Some              Protestant
4710          <NA>              Protestant
4711  A Great Deal              Protestant
4712  A Great Deal                Catholic
4713     Only Some              Protestant
4714     Only Some              Protestant
4715     Only Some              Protestant
4716  A Great Deal              Protestant
4717  A Great Deal              Protestant
4718  A Great Deal              Protestant
4719  A Great Deal              Protestant
4720     Only Some                  Jewish
4721  A Great Deal              Protestant
4722          <NA>              Protestant
4723    Hardly Any              Protestant
4724          <NA>                    None
4725          <NA>                    None
4726  A Great Deal                Catholic
4727     Only Some              Protestant
4728  A Great Deal              Protestant
4729     Only Some              Protestant
4730     Only Some              Protestant
4731     Only Some                Catholic
4732  A Great Deal                Catholic
4733     Only Some                Catholic
4734  A Great Deal              Protestant
4735  A Great Deal              Protestant
4736     Only Some                    None
4737     Only Some                    None
4738  A Great Deal              Protestant
4739    Hardly Any              Protestant
4740  A Great Deal                Catholic
4741     Only Some                Catholic
4742  A Great Deal              Protestant
4743  A Great Deal              Protestant
4744  A Great Deal                Catholic
4745     Only Some              Protestant
4746    Hardly Any              Protestant
4747  A Great Deal                    None
4748  A Great Deal              Protestant
4749     Only Some              Protestant
4750    Hardly Any              Protestant
4751     Only Some              Protestant
4752     Only Some              Protestant
4753     Only Some              Protestant
4754  A Great Deal                Catholic
4755  A Great Deal              Protestant
4756     Only Some              Protestant
4757     Only Some              Protestant
4758  A Great Deal              Protestant
4759     Only Some                Catholic
4760     Only Some              Protestant
4761     Only Some                    None
4762     Only Some                Catholic
4763  A Great Deal                Catholic
4764  A Great Deal                Catholic
4765    Hardly Any              Protestant
4766     Only Some                Catholic
4767     Only Some              Protestant
4768     Only Some                Catholic
4769  A Great Deal              Protestant
4770     Only Some                Catholic
4771  A Great Deal              Protestant
4772     Only Some              Protestant
4773     Only Some              Protestant
4774  A Great Deal                Catholic
4775  A Great Deal              Protestant
4776     Only Some              Protestant
4777     Only Some                Catholic
4778     Only Some              Protestant
4779  A Great Deal              Protestant
4780  A Great Deal              Protestant
4781  A Great Deal                    None
4782     Only Some              Protestant
4783     Only Some              Protestant
4784     Only Some              Protestant
4785     Only Some              Protestant
4786     Only Some              Protestant
4787     Only Some                Catholic
4788  A Great Deal                Catholic
4789  A Great Deal              Protestant
4790          <NA>                Catholic
4791     Only Some                Catholic
4792  A Great Deal              Protestant
4793          <NA>                   Other
4794     Only Some                  Jewish
4795     Only Some              Protestant
4796     Only Some              Protestant
4797  A Great Deal              Protestant
4798     Only Some              Protestant
4799     Only Some              Protestant
4800  A Great Deal                Catholic
4801     Only Some              Protestant
4802     Only Some              Protestant
4803  A Great Deal              Protestant
4804    Hardly Any              Protestant
4805     Only Some              Protestant
4806     Only Some              Protestant
4807  A Great Deal              Protestant
4808  A Great Deal              Protestant
4809  A Great Deal              Protestant
4810          <NA>              Protestant
4811     Only Some              Protestant
4812     Only Some              Protestant
4813     Only Some              Protestant
4814          <NA>              Protestant
4815          <NA>              Protestant
4816     Only Some              Protestant
4817  A Great Deal              Protestant
4818  A Great Deal              Protestant
4819  A Great Deal              Protestant
4820  A Great Deal              Protestant
4821     Only Some              Protestant
4822  A Great Deal                Catholic
4823  A Great Deal              Protestant
4824     Only Some              Protestant
4825  A Great Deal                  Jewish
4826     Only Some              Protestant
4827     Only Some              Protestant
4828  A Great Deal              Protestant
4829     Only Some              Protestant
4830    Hardly Any              Protestant
4831     Only Some              Protestant
4832  A Great Deal              Protestant
4833     Only Some                Catholic
4834     Only Some              Protestant
4835  A Great Deal              Protestant
4836  A Great Deal              Protestant
4837          <NA>              Protestant
4838     Only Some              Protestant
4839  A Great Deal              Protestant
4840    Hardly Any              Protestant
4841          <NA>              Protestant
4842     Only Some              Protestant
4843  A Great Deal                Catholic
4844     Only Some                Catholic
4845     Only Some              Protestant
4846    Hardly Any                Catholic
4847  A Great Deal              Protestant
4848  A Great Deal              Protestant
4849  A Great Deal              Protestant
4850  A Great Deal              Protestant
4851    Hardly Any              Protestant
4852  A Great Deal                Catholic
4853    Hardly Any              Protestant
4854     Only Some                Catholic
4855     Only Some              Protestant
4856     Only Some              Protestant
4857  A Great Deal              Protestant
4858     Only Some                Catholic
4859     Only Some              Protestant
4860     Only Some                    None
4861  A Great Deal              Protestant
4862  A Great Deal                Catholic
4863  A Great Deal                    None
4864  A Great Deal              Protestant
4865  A Great Deal                    None
4866          <NA>                Catholic
4867  A Great Deal              Protestant
4868          <NA>              Protestant
4869     Only Some                Catholic
4870  A Great Deal              Protestant
4871  A Great Deal                Catholic
4872  A Great Deal                Catholic
